scanner_version,target,resolved_ip,scan_type,started_at,duration_seconds,port,state,service,banner,reason
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,101,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,102,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,103,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,104,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,105,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,106,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,107,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,108,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,109,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,110,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,111,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,112,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,113,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,114,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,115,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,116,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,117,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,118,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,119,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,120,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,121,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,122,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,123,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,124,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,125,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,126,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,127,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,128,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,129,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,130,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,131,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,132,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,133,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,134,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,135,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,136,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,137,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,138,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,139,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,140,closed,unknown,,connection refused
